[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 139] d0=4110815 pm=2086 slots=880000 (1669s)
[cap 140] d0=4110621 pm=2124 slots=880000 (1679s)
[cap 141] d0=4131617 pm=2192 slots=880000 (1690s)
[cap 142] d0=4115534 pm=2008 slots=880000 (1700s)
[cap 143] d0=4121582 pm=1882 slots=880000 (1710s)
[cap 144] d0=4079132 pm=1982 slots=880000 (1720s)
[cap 145] d0=4095440 pm=1816 slots=880000 (1731s)
[cap 146] d0=4102005 pm=1985 slots=880000 (1741s)
[cap 147] d0=4107472 pm=2059 slots=880000 (1751s)
[cap 148] d0=4107866 pm=1904 slots=880000 (1761s)
[cap 149] d0=4123631 pm=2201 slots=880000 (1771s)
[cap 150] d0=4102794 pm=2200 slots=880000 (1782s)
[cap 151] d0=4108710 pm=2102 slots=880000 (1792s)
[cap 152] d0=4088763 pm=2064 slots=880000 (1802s)
[cap 153] d0=4095853 pm=2155 slots=880000 (1812s)
[cap 154] d0=4121214 pm=2127 slots=880000 (1822s)
[cap 155] d0=4107670 pm=2213 slots=880000 (1833s)
[cap 156] d0=4126348 pm=2249 slots=880000 (1843s)
[cap 157] d0=4125054 pm=2160 slots=880000 (1853s)
[cap 158] d0=4137218 pm=2001 slots=880000 (1863s)
[cap 159] d0=4127420 pm=1952 slots=880000 (1873s)
[cap 160] d0=4094127 pm=2092 slots=880000 (1884s)
[cap 161] d0=4125777 pm=2296 slots=880000 (1894s)
[cap 162] d0=4092198 pm=2608 slots=880000 (1904s)
[cap 163] d0=4107269 pm=2158 slots=880000 (1914s)
[cap 164] d0=4112490 pm=1920 slots=880000 (1924s)
[cap 165] d0=4112180 pm=2242 slots=880000 (1935s)
[cap 166] d0=4111275 pm=2267 slots=880000 (1945s)
[cap 167] d0=6752706 pm=2577 slots=160000 (1955s)
[cap 168] d0=4080567 pm=3066 slots=880000 (2003s)
[cap 169] d0=4114447 pm=2371 slots=880000 (2013s)
[cap 170] d0=3612170 pm=3109 slots=288000 (2030s)
[cap 171] d0=829300 pm=2061 slots=55040 (2036s)
[run clean] 20/300: running acc 0.00 (2036s)
[cap 172] d0=4090851 pm=2685 slots=879975 (2084s)
[cap 173] d0=4107739 pm=2360 slots=879975 (2094s)
[cap 174] d0=4108053 pm=1985 slots=879975 (2104s)
[cap 175] d0=4096336 pm=1550 slots=879975 (2114s)
[cap 176] d0=4090257 pm=1432 slots=879975 (2124s)
[cap 177] d0=4098415 pm=1483 slots=879975 (2135s)
[cap 178] d0=4098452 pm=1391 slots=879975 (2145s)
[cap 179] d0=4108765 pm=1687 slots=879975 (2155s)
[cap 180] d0=4078996 pm=1855 slots=879975 (2165s)
[cap 181] d0=4097308 pm=2237 slots=879975 (2176s)
[cap 182] d0=4084574 pm=2107 slots=879975 (2186s)
[cap 183] d0=4118356 pm=1455 slots=879975 (2196s)
[cap 184] d0=4125444 pm=1591 slots=879975 (2206s)
[cap 185] d0=4100652 pm=1849 slots=879975 (2216s)
[cap 186] d0=4086114 pm=1527 slots=879975 (2227s)
[cap 187] d0=4074533 pm=1877 slots=879975 (2237s)
[cap 188] d0=4096175 pm=1728 slots=879975 (2247s)
[cap 189] d0=4106962 pm=2122 slots=879975 (2257s)
[cap 190] d0=4126951 pm=3854 slots=879975 (2267s)
[cap 191] d0=4084990 pm=4768 slots=879975 (2278s)
[cap 192] d0=4131858 pm=1932 slots=879975 (2288s)
[cap 193] d0=5811915 pm=2518 slots=336525 (2317s)
[cap 194] d0=4106737 pm=2665 slots=880000 (2365s)
[cap 195] d0=4132853 pm=2047 slots=880000 (2375s)
[cap 196] d0=4115669 pm=1898 slots=880000 (2386s)
[cap 197] d0=4091917 pm=2067 slots=880000 (2396s)
[cap 198] d0=4127946 pm=2006 slots=880000 (2406s)
[cap 199] d0=4108050 pm=2135 slots=880000 (2416s)
[cap 200] d0=4106153 pm=2126 slots=880000 (2426s)
[cap 201] d0=4128585 pm=2023 slots=880000 (2437s)
[cap 202] d0=4094475 pm=2108 slots=880000 (2447s)
[cap 203] d0=4106539 pm=2203 slots=880000 (2457s)
[cap 204] d0=4117172 pm=2085 slots=880000 (2467s)
[cap 205] d0=4105293 pm=2064 slots=880000 (2478s)
[cap 206] d0=4105257 pm=2067 slots=880000 (2488s)
[cap 207] d0=4090549 pm=1965 slots=880000 (2498s)
[cap 208] d0=4126058 pm=1909 slots=880000 (2508s)
[cap 209] d0=4128778 pm=2226 slots=880000 (2518s)
[cap 210] d0=4096420 pm=2119 slots=880000 (2529s)
[cap 211] d0=4099289 pm=2026 slots=880000 (2539s)
[cap 212] d0=4120286 pm=1989 slots=880000 (2549s)
[cap 213] d0=4125544 pm=2038 slots=880000 (2559s)
[cap 214] d0=4083881 pm=1881 slots=880000 (2569s)
[cap 215] d0=4117044 pm=1887 slots=880000 (2579s)
[cap 216] d0=4121543 pm=2056 slots=880000 (2590s)
[cap 217] d0=4079969 pm=2011 slots=880000 (2600s)
[cap 218] d0=4111933 pm=2111 slots=880000 (2610s)
[cap 219] d0=4090937 pm=2170 slots=880000 (2621s)
[cap 220] d0=4094281 pm=2080 slots=880000 (2631s)
[cap 221] d0=4093167 pm=2074 slots=880000 (2641s)
[cap 222] d0=4085586 pm=2056 slots=880000 (2651s)
[cap 223] d0=4081835 pm=2089 slots=880000 (2661s)
[cap 224] d0=4095609 pm=2010 slots=880000 (2672s)
[cap 225] d0=4131941 pm=2028 slots=880000 (2682s)
[cap 226] d0=4104166 pm=2044 slots=880000 (2692s)
[cap 227] d0=4083937 pm=2124 slots=880000 (2702s)
[cap 228] d0=4105961 pm=2102 slots=880000 (2713s)
[cap 229] d0=4083815 pm=2132 slots=880000 (2723s)
[cap 230] d0=4129308 pm=2174 slots=880000 (2733s)
[cap 231] d0=4119390 pm=2175 slots=880000 (2743s)
[cap 232] d0=4099529 pm=2360 slots=880000 (2753s)
[cap 233] d0=4081278 pm=2112 slots=880000 (2764s)
[cap 234] d0=4112085 pm=2089 slots=880000 (2774s)
