[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 235] d0=4105741 pm=2153 slots=880000 (2740s)
[cap 236] d0=4106908 pm=2138 slots=880000 (2750s)
[cap 237] d0=4132624 pm=2194 slots=880000 (2760s)
[cap 238] d0=4095824 pm=2163 slots=880000 (2770s)
[cap 239] d0=4110154 pm=2175 slots=880000 (2780s)
[cap 240] d0=4092677 pm=2226 slots=880000 (2791s)
[cap 241] d0=4095838 pm=2148 slots=880000 (2801s)
[cap 242] d0=4078655 pm=2168 slots=880000 (2811s)
[cap 243] d0=4097856 pm=2020 slots=880000 (2822s)
[cap 244] d0=4113339 pm=1990 slots=880000 (2832s)
[cap 245] d0=4133718 pm=2036 slots=880000 (2842s)
[cap 246] d0=4100607 pm=1896 slots=880000 (2853s)
[cap 247] d0=4098165 pm=2139 slots=880000 (2863s)
[cap 248] d0=4089427 pm=2238 slots=880000 (2873s)
[cap 249] d0=4112380 pm=2096 slots=880000 (2883s)
[cap 250] d0=4106402 pm=2215 slots=880000 (2894s)
[cap 251] d0=4101433 pm=2281 slots=880000 (2904s)
[cap 252] d0=6778290 pm=2622 slots=160000 (2914s)
[cap 253] d0=4103627 pm=3045 slots=880000 (2964s)
[cap 254] d0=4137568 pm=2419 slots=880000 (2974s)
[cap 255] d0=3624626 pm=3184 slots=288000 (2990s)
[cap 256] d0=809980 pm=2074 slots=55040 (2997s)
[run clean] 20/150: running acc 5.00 (2997s)
[cap 257] d0=4119824 pm=2164 slots=879975 (3045s)
[cap 258] d0=4129351 pm=1769 slots=879975 (3056s)
[cap 259] d0=4100854 pm=1783 slots=879975 (3066s)
[cap 260] d0=4114750 pm=1687 slots=879975 (3076s)
[cap 261] d0=4117700 pm=1743 slots=879975 (3087s)
[cap 262] d0=4112734 pm=1659 slots=879975 (3097s)
[cap 263] d0=4114279 pm=1533 slots=879975 (3107s)
[cap 264] d0=4131090 pm=1521 slots=879975 (3117s)
[cap 265] d0=4121569 pm=1815 slots=879975 (3128s)
[cap 266] d0=4120672 pm=2762 slots=879975 (3138s)
[cap 267] d0=4133587 pm=2094 slots=879975 (3148s)
[cap 268] d0=4091032 pm=2198 slots=879975 (3159s)
[cap 269] d0=4096166 pm=1706 slots=879975 (3169s)
[cap 270] d0=4095028 pm=1750 slots=879975 (3179s)
[cap 271] d0=4110342 pm=1922 slots=879975 (3189s)
[cap 272] d0=4123147 pm=1717 slots=879975 (3200s)
[cap 273] d0=4107663 pm=1580 slots=879975 (3210s)
[cap 274] d0=4122844 pm=1574 slots=879975 (3220s)
[cap 275] d0=4104062 pm=1703 slots=879975 (3230s)
[cap 276] d0=4085150 pm=1977 slots=879975 (3241s)
[cap 277] d0=4110878 pm=2623 slots=879975 (3251s)
[cap 278] d0=4489648 pm=2190 slots=336525 (3280s)
[cap 279] d0=4098355 pm=2601 slots=880000 (3328s)
[cap 280] d0=4110448 pm=2011 slots=880000 (3339s)
[cap 281] d0=4126746 pm=1986 slots=880000 (3349s)
[cap 282] d0=4131091 pm=2063 slots=880000 (3359s)
[cap 283] d0=4130450 pm=1843 slots=880000 (3369s)
[cap 284] d0=4122977 pm=2079 slots=880000 (3380s)
[cap 285] d0=4101801 pm=2180 slots=880000 (3390s)
[cap 286] d0=4120273 pm=2000 slots=880000 (3400s)
[cap 287] d0=4126299 pm=2234 slots=880000 (3411s)
[cap 288] d0=4110726 pm=2222 slots=880000 (3421s)
[cap 289] d0=4092554 pm=2011 slots=880000 (3431s)
[cap 290] d0=4114995 pm=2005 slots=880000 (3441s)
[cap 291] d0=4127925 pm=1958 slots=880000 (3452s)
[cap 292] d0=4099156 pm=1956 slots=880000 (3462s)
[cap 293] d0=4125457 pm=1855 slots=880000 (3472s)
[cap 294] d0=4113038 pm=2109 slots=880000 (3482s)
[cap 295] d0=4105662 pm=2064 slots=880000 (3493s)
[cap 296] d0=4132369 pm=2059 slots=880000 (3503s)
[cap 297] d0=4126666 pm=1926 slots=880000 (3513s)
[cap 298] d0=4129593 pm=2062 slots=880000 (3523s)
[cap 299] d0=4106261 pm=1881 slots=880000 (3533s)
[cap 300] d0=4093857 pm=1944 slots=880000 (3544s)
[cap 301] d0=4135387 pm=2096 slots=880000 (3554s)
[cap 302] d0=4128278 pm=1934 slots=880000 (3564s)
[cap 303] d0=4126846 pm=2171 slots=880000 (3574s)
