[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 201] d0=4090285 pm=2053 slots=880000 (2428s)
[cap 202] d0=4086110 pm=1875 slots=880000 (2438s)
[cap 203] d0=4125384 pm=1884 slots=880000 (2448s)
[cap 204] d0=4094209 pm=1989 slots=880000 (2459s)
[cap 205] d0=4102636 pm=2025 slots=880000 (2469s)
[cap 206] d0=4120002 pm=1998 slots=880000 (2479s)
[cap 207] d0=4107786 pm=1949 slots=880000 (2489s)
[cap 208] d0=4130325 pm=2211 slots=880000 (2499s)
[cap 209] d0=4095051 pm=2508 slots=880000 (2510s)
[cap 210] d0=4085004 pm=2415 slots=880000 (2520s)
[cap 211] d0=4122675 pm=2214 slots=880000 (2530s)
[cap 212] d0=4121586 pm=1931 slots=880000 (2541s)
[cap 213] d0=4121527 pm=1913 slots=880000 (2551s)
[cap 214] d0=4094037 pm=1839 slots=880000 (2561s)
[cap 215] d0=4100804 pm=1804 slots=880000 (2571s)
[cap 216] d0=4132100 pm=1994 slots=880000 (2581s)
[cap 217] d0=4111508 pm=2212 slots=880000 (2592s)
[cap 218] d0=4099593 pm=1898 slots=880000 (2602s)
[cap 219] d0=4093634 pm=1936 slots=880000 (2612s)
[cap 220] d0=4126364 pm=2072 slots=880000 (2622s)
[cap 221] d0=4103190 pm=1847 slots=880000 (2632s)
[cap 222] d0=4110007 pm=1775 slots=880000 (2643s)
[cap 223] d0=4127170 pm=1741 slots=880000 (2653s)
[cap 224] d0=4097625 pm=1761 slots=880000 (2663s)
[cap 225] d0=4129197 pm=1814 slots=880000 (2673s)
[cap 226] d0=4120029 pm=2017 slots=880000 (2684s)
[cap 227] d0=4093848 pm=2007 slots=880000 (2694s)
[cap 228] d0=4118120 pm=1862 slots=880000 (2704s)
[cap 229] d0=4127623 pm=2015 slots=880000 (2714s)
[cap 230] d0=4105742 pm=2053 slots=880000 (2724s)
[cap 231] d0=4091118 pm=2134 slots=880000 (2735s)
[cap 232] d0=4096226 pm=2150 slots=880000 (2745s)
[cap 233] d0=4092909 pm=2053 slots=880000 (2755s)
[cap 234] d0=4093607 pm=1966 slots=880000 (2765s)
[cap 235] d0=4105157 pm=2046 slots=880000 (2775s)
[cap 236] d0=4082858 pm=1928 slots=880000 (2786s)
[cap 237] d0=4104975 pm=1793 slots=880000 (2796s)
[cap 238] d0=4108059 pm=1782 slots=880000 (2806s)
[cap 239] d0=4117770 pm=1957 slots=880000 (2816s)
[cap 240] d0=4121491 pm=2104 slots=880000 (2826s)
[cap 241] d0=4103564 pm=1921 slots=880000 (2837s)
[cap 242] d0=4099234 pm=1898 slots=880000 (2847s)
[cap 243] d0=4116926 pm=1949 slots=880000 (2857s)
[cap 244] d0=4125020 pm=1960 slots=880000 (2867s)
[cap 245] d0=4120275 pm=2106 slots=880000 (2877s)
[cap 246] d0=4119665 pm=1964 slots=880000 (2888s)
[cap 247] d0=4094703 pm=1820 slots=880000 (2898s)
[cap 248] d0=4108584 pm=2263 slots=880000 (2908s)
[cap 249] d0=4119519 pm=1949 slots=880000 (2918s)
[cap 250] d0=4080285 pm=1857 slots=880000 (2928s)
[cap 251] d0=4114269 pm=2101 slots=880000 (2939s)
[cap 252] d0=1621810 pm=2416 slots=160000 (2949s)
[cap 253] d0=4124354 pm=3474 slots=880000 (2997s)
[cap 254] d0=4092430 pm=2523 slots=880000 (3007s)
[cap 255] d0=3647609 pm=2860 slots=288000 (3023s)
[cap 256] d0=2616916 pm=2656 slots=55040 (3029s)
[run twin] 30/300: running acc 100.00 (3029s)
[cap 257] d0=4109607 pm=2024 slots=879975 (3078s)
[cap 258] d0=4112987 pm=1662 slots=879975 (3088s)
[cap 259] d0=4103242 pm=1544 slots=879975 (3098s)
[cap 260] d0=4104092 pm=1399 slots=879975 (3109s)
[cap 261] d0=4121366 pm=1296 slots=879975 (3119s)
[cap 262] d0=4093112 pm=1308 slots=879975 (3129s)
[cap 263] d0=4086006 pm=1405 slots=879975 (3139s)
[cap 264] d0=4097333 pm=1483 slots=879975 (3149s)
[cap 265] d0=4087193 pm=1339 slots=879975 (3160s)
[cap 266] d0=4084929 pm=1335 slots=879975 (3170s)
[cap 267] d0=4117317 pm=1297 slots=879975 (3180s)
[cap 268] d0=4119131 pm=1588 slots=879975 (3190s)
[cap 269] d0=4107686 pm=2598 slots=879975 (3201s)
[cap 270] d0=4103647 pm=1748 slots=879975 (3211s)
[cap 271] d0=4105255 pm=1595 slots=879975 (3221s)
[cap 272] d0=4098192 pm=2714 slots=879975 (3231s)
[cap 273] d0=4107032 pm=2670 slots=879975 (3241s)
[cap 274] d0=4105506 pm=1841 slots=879975 (3252s)
[cap 275] d0=4115140 pm=1567 slots=879975 (3262s)
[cap 276] d0=4097451 pm=1891 slots=879975 (3272s)
[cap 277] d0=4079480 pm=2959 slots=879975 (3282s)
[cap 278] d0=5073491 pm=2163 slots=336525 (3311s)
[cap 279] d0=4082457 pm=2336 slots=880000 (3360s)
[cap 280] d0=4130669 pm=1992 slots=880000 (3370s)
[cap 281] d0=4104936 pm=1678 slots=880000 (3380s)
[cap 282] d0=4101691 pm=1844 slots=880000 (3390s)
[cap 283] d0=4108888 pm=1901 slots=880000 (3400s)
[cap 284] d0=4113720 pm=1871 slots=880000 (3411s)
[cap 285] d0=4090579 pm=1933 slots=880000 (3421s)
[cap 286] d0=4109317 pm=1973 slots=880000 (3431s)
[cap 287] d0=4091092 pm=2073 slots=880000 (3441s)
[cap 288] d0=4111832 pm=2096 slots=880000 (3452s)
[cap 289] d0=4095356 pm=1955 slots=880000 (3462s)
[cap 290] d0=4098395 pm=1789 slots=880000 (3472s)
[cap 291] d0=4083212 pm=1949 slots=880000 (3482s)
[cap 292] d0=4128683 pm=2057 slots=880000 (3492s)
[cap 293] d0=4121337 pm=1977 slots=880000 (3503s)
[cap 294] d0=4095822 pm=1862 slots=880000 (3513s)
[cap 295] d0=4092609 pm=1865 slots=880000 (3523s)
[cap 296] d0=4121912 pm=2418 slots=880000 (3533s)
[cap 297] d0=4125513 pm=1987 slots=880000 (3543s)
[cap 298] d0=4100776 pm=1782 slots=880000 (3554s)
[cap 299] d0=4082354 pm=1848 slots=880000 (3564s)
[cap 300] d0=4090393 pm=1769 slots=880000 (3574s)
[cap 301] d0=4109371 pm=1896 slots=880000 (3584s)
[cap 302] d0=4112287 pm=2375 slots=880000 (3594s)
[cap 303] d0=4091847 pm=2411 slots=880000 (3604s)
[cap 304] d0=4115994 pm=2906 slots=880000 (3615s)
[cap 305] d0=4122715 pm=2877 slots=880000 (3625s)
[cap 306] d0=4094671 pm=2299 slots=880000 (3635s)
[cap 307] d0=4104764 pm=1992 slots=880000 (3645s)
[cap 308] d0=4098029 pm=2721 slots=880000 (3656s)
[cap 309] d0=4099591 pm=2971 slots=880000 (3666s)
[cap 310] d0=4127744 pm=2725 slots=880000 (3676s)
[cap 311] d0=4119924 pm=2642 slots=880000 (3686s)
[cap 312] d0=4097623 pm=4944 slots=880000 (3696s)
[cap 313] d0=4103107 pm=2189 slots=880000 (3707s)
[cap 314] d0=4134094 pm=1877 slots=880000 (3717s)
[cap 315] d0=4115580 pm=1869 slots=880000 (3727s)
[cap 316] d0=4134601 pm=2054 slots=880000 (3737s)
[cap 317] d0=4092170 pm=2113 slots=880000 (3748s)
[cap 318] d0=4101454 pm=1967 slots=880000 (3758s)
[cap 319] d0=4092098 pm=2041 slots=880000 (3768s)
[cap 320] d0=4111554 pm=2015 slots=880000 (3778s)
[cap 321] d0=4112991 pm=2000 slots=880000 (3788s)
[cap 322] d0=4089251 pm=2036 slots=880000 (3799s)
[cap 323] d0=4103067 pm=2516 slots=880000 (3809s)
[cap 324] d0=4094237 pm=2140 slots=880000 (3819s)
[cap 325] d0=4124924 pm=1917 slots=880000 (3829s)
[cap 326] d0=4089858 pm=2016 slots=880000 (3840s)
[cap 327] d0=4098439 pm=2278 slots=880000 (3850s)
[cap 328] d0=4091236 pm=1960 slots=880000 (3860s)
[cap 329] d0=4118694 pm=2189 slots=880000 (3870s)
[cap 330] d0=4112550 pm=2408 slots=880000 (3880s)
[cap 331] d0=4110964 pm=2056 slots=880000 (3891s)
[cap 332] d0=4079076 pm=2093 slots=880000 (3901s)
[cap 333] d0=4106134 pm=1938 slots=880000 (3911s)
[cap 334] d0=4092095 pm=1828 slots=880000 (3921s)
[cap 335] d0=4095452 pm=1859 slots=880000 (3931s)
[cap 336] d0=4114833 pm=2053 slots=880000 (3942s)
[cap 337] d0=1598539 pm=2365 slots=160000 (3952s)
[cap 338] d0=4100383 pm=3172 slots=880000 (4001s)
[cap 339] d0=4130831 pm=2433 slots=880000 (4011s)
[cap 340] d0=3645452 pm=3153 slots=288000 (4027s)
[cap 341] d0=807008 pm=2620 slots=55040 (4033s)
[run twin] 40/300: running acc 100.00 (4033s)
[cap 342] d0=4100238 pm=1899 slots=879975 (4083s)
[cap 343] d0=4082248 pm=1519 slots=879975 (4093s)
[cap 344] d0=4096120 pm=1354 slots=879975 (4103s)
[cap 345] d0=4122714 pm=1680 slots=879975 (4114s)
[cap 346] d0=4114953 pm=1487 slots=879975 (4124s)
[cap 347] d0=4078652 pm=1402 slots=879975 (4134s)
[cap 348] d0=4129241 pm=1242 slots=879975 (4144s)
[cap 349] d0=4104225 pm=1313 slots=879975 (4154s)
[cap 350] d0=4109207 pm=1633 slots=879975 (4165s)
[cap 351] d0=4114066 pm=2179 slots=879975 (4175s)
[cap 352] d0=4100974 pm=2176 slots=879975 (4185s)
[cap 353] d0=4080560 pm=1753 slots=879975 (4195s)
[cap 354] d0=4116232 pm=1396 slots=879975 (4206s)
[cap 355] d0=4128434 pm=1379 slots=879975 (4216s)
[cap 356] d0=4088172 pm=1322 slots=879975 (4226s)
[cap 357] d0=4088140 pm=2070 slots=879975 (4236s)
[cap 358] d0=4106308 pm=3130 slots=879975 (4246s)
[cap 359] d0=4089735 pm=3300 slots=879975 (4257s)
[cap 360] d0=4091217 pm=1710 slots=879975 (4267s)
[cap 361] d0=4124267 pm=3335 slots=879975 (4277s)
[cap 362] d0=4124493 pm=3878 slots=879975 (4287s)
[cap 363] d0=5965922 pm=2234 slots=336525 (4316s)
[cap 364] d0=4128566 pm=2384 slots=880000 (4365s)
[cap 365] d0=4120536 pm=2150 slots=880000 (4375s)
[cap 366] d0=4130864 pm=1964 slots=880000 (4385s)
[cap 367] d0=4113999 pm=1864 slots=880000 (4395s)
[cap 368] d0=4087520 pm=2239 slots=880000 (4406s)
[cap 369] d0=4113725 pm=1757 slots=880000 (4416s)
[cap 370] d0=4104477 pm=1854 slots=880000 (4426s)
[cap 371] d0=4102704 pm=1781 slots=880000 (4436s)
[cap 372] d0=4105509 pm=1760 slots=880000 (4446s)
[cap 373] d0=4090672 pm=1842 slots=880000 (4457s)
[cap 374] d0=4102083 pm=1874 slots=880000 (4467s)
[cap 375] d0=4123993 pm=1768 slots=880000 (4477s)
[cap 376] d0=4091673 pm=1896 slots=880000 (4487s)
[cap 377] d0=4086254 pm=1669 slots=880000 (4498s)
[cap 378] d0=4093176 pm=1805 slots=880000 (4508s)
[cap 379] d0=4100144 pm=1770 slots=880000 (4518s)
[cap 380] d0=4099026 pm=1963 slots=880000 (4528s)
[cap 381] d0=4091868 pm=1963 slots=880000 (4539s)
[cap 382] d0=4134943 pm=2092 slots=880000 (4549s)
[cap 383] d0=4133188 pm=2112 slots=880000 (4559s)
[cap 384] d0=4121302 pm=2007 slots=880000 (4569s)
[cap 385] d0=4110321 pm=1774 slots=880000 (4579s)
[cap 386] d0=4124521 pm=2209 slots=880000 (4590s)
[cap 387] d0=4108593 pm=2110 slots=880000 (4600s)
[cap 388] d0=4126525 pm=1975 slots=880000 (4610s)
[cap 389] d0=4121645 pm=2092 slots=880000 (4620s)
[cap 390] d0=4102516 pm=2468 slots=880000 (4630s)
[cap 391] d0=4129552 pm=2024 slots=880000 (4641s)
[cap 392] d0=4106945 pm=2048 slots=880000 (4651s)
[cap 393] d0=4134465 pm=2137 slots=880000 (4661s)
[cap 394] d0=4078387 pm=2226 slots=880000 (4671s)
[cap 395] d0=4079051 pm=2010 slots=880000 (4681s)
[cap 396] d0=4104455 pm=2157 slots=880000 (4692s)
[cap 397] d0=4104508 pm=2151 slots=880000 (4702s)
[cap 398] d0=4122570 pm=2075 slots=880000 (4712s)
[cap 399] d0=4123931 pm=2234 slots=880000 (4722s)
[cap 400] d0=4098006 pm=2062 slots=880000 (4733s)
[cap 401] d0=4104313 pm=2107 slots=880000 (4743s)
[cap 402] d0=4110158 pm=2169 slots=880000 (4753s)
[cap 403] d0=4108659 pm=2064 slots=880000 (4763s)
[cap 404] d0=4085986 pm=2554 slots=880000 (4773s)
[cap 405] d0=4080304 pm=2097 slots=880000 (4784s)
[cap 406] d0=4122540 pm=2510 slots=880000 (4794s)
[cap 407] d0=4103573 pm=2359 slots=880000 (4804s)
