[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 142] d0=4135024 pm=2416 slots=880000 (2025s)
[cap 143] d0=4119622 pm=2149 slots=880000 (2035s)
[cap 144] d0=4136642 pm=2050 slots=880000 (2045s)
[cap 145] d0=4108783 pm=1958 slots=880000 (2055s)
[cap 146] d0=4113588 pm=1821 slots=880000 (2065s)
[cap 147] d0=4107806 pm=1888 slots=880000 (2076s)
[cap 148] d0=4119295 pm=1998 slots=880000 (2086s)
[cap 149] d0=4114497 pm=1949 slots=880000 (2096s)
[cap 150] d0=4123705 pm=1987 slots=880000 (2106s)
[cap 151] d0=4106890 pm=1911 slots=880000 (2116s)
[cap 152] d0=4114997 pm=1658 slots=880000 (2127s)
[cap 153] d0=4087451 pm=1705 slots=880000 (2137s)
[cap 154] d0=4096928 pm=1924 slots=880000 (2147s)
[cap 155] d0=4114110 pm=2411 slots=880000 (2157s)
[cap 156] d0=4124744 pm=2281 slots=880000 (2168s)
[cap 157] d0=4105607 pm=2381 slots=880000 (2178s)
[cap 158] d0=4113466 pm=2173 slots=880000 (2188s)
[cap 159] d0=4100365 pm=2057 slots=880000 (2198s)
[cap 160] d0=4110021 pm=2302 slots=880000 (2209s)
[cap 161] d0=4093727 pm=2103 slots=880000 (2219s)
[cap 162] d0=4088200 pm=1812 slots=880000 (2229s)
[cap 163] d0=4113846 pm=2110 slots=880000 (2239s)
[cap 164] d0=4098236 pm=1985 slots=880000 (2249s)
[cap 165] d0=4101316 pm=1838 slots=880000 (2260s)
[cap 166] d0=4127855 pm=2042 slots=880000 (2270s)
[cap 167] d0=6762297 pm=2403 slots=160000 (2280s)
[cap 168] d0=4095393 pm=3250 slots=880000 (2329s)
[cap 169] d0=4093739 pm=2460 slots=880000 (2339s)
[cap 170] d0=3625762 pm=2730 slots=288000 (2356s)
[cap 171] d0=845166 pm=2688 slots=55040 (2362s)
[run twin] 10/300: running acc 100.00 (2362s)
[cap 172] d0=4117726 pm=1968 slots=879975 (2411s)
[cap 173] d0=4085276 pm=1805 slots=879975 (2421s)
[cap 174] d0=4088184 pm=1501 slots=879975 (2432s)
[cap 175] d0=4123458 pm=1587 slots=879975 (2442s)
[cap 176] d0=4216905 pm=2260 slots=879975 (2484s)
[cap 177] d0=4100889 pm=2147 slots=879975 (2525s)
[cap 178] d0=4107309 pm=1353 slots=879975 (2535s)
[cap 179] d0=4088032 pm=2028 slots=879975 (2545s)
[cap 180] d0=4122643 pm=1381 slots=879975 (2556s)
[cap 181] d0=4106565 pm=1499 slots=879975 (2566s)
[cap 182] d0=4090877 pm=1679 slots=879975 (2576s)
[cap 183] d0=4112391 pm=1657 slots=879975 (2586s)
[cap 184] d0=4108403 pm=1547 slots=879975 (2597s)
[cap 185] d0=4074918 pm=1685 slots=879975 (2607s)
[cap 186] d0=4111294 pm=1950 slots=879975 (2617s)
[cap 187] d0=4102101 pm=1575 slots=879975 (2627s)
[cap 188] d0=4118907 pm=1463 slots=879975 (2637s)
[cap 189] d0=4081816 pm=1462 slots=879975 (2648s)
[cap 190] d0=4112074 pm=2477 slots=879975 (2658s)
[cap 191] d0=4130009 pm=2177 slots=879975 (2668s)
[cap 192] d0=4110635 pm=2268 slots=879975 (2678s)
[cap 193] d0=5995324 pm=1840 slots=336525 (2707s)
[cap 194] d0=4102001 pm=2349 slots=880000 (2757s)
[cap 195] d0=4089777 pm=1838 slots=880000 (2767s)
[cap 196] d0=4087434 pm=1755 slots=880000 (2777s)
[cap 197] d0=4087534 pm=1875 slots=880000 (2788s)
[cap 198] d0=4114752 pm=1857 slots=880000 (2798s)
[cap 199] d0=4107353 pm=1894 slots=880000 (2808s)
[cap 200] d0=4117433 pm=2101 slots=880000 (2818s)
[cap 201] d0=4090695 pm=2096 slots=880000 (2828s)
[cap 202] d0=4105472 pm=3799 slots=880000 (2839s)
[cap 203] d0=4119241 pm=2579 slots=880000 (2849s)
[cap 204] d0=4110930 pm=2026 slots=880000 (2859s)
[cap 205] d0=4104661 pm=2003 slots=880000 (2870s)
[cap 206] d0=4098507 pm=1880 slots=880000 (2880s)
[cap 207] d0=4124671 pm=1829 slots=880000 (2890s)
[cap 208] d0=4104769 pm=1860 slots=880000 (2900s)
[cap 209] d0=4080608 pm=1905 slots=880000 (2911s)
[cap 210] d0=4101519 pm=2073 slots=880000 (2921s)
[cap 211] d0=4095960 pm=2408 slots=880000 (2931s)
[cap 212] d0=4112939 pm=2109 slots=880000 (2941s)
[cap 213] d0=4120354 pm=1909 slots=880000 (2952s)
[cap 214] d0=4129787 pm=2064 slots=880000 (2962s)
[cap 215] d0=4116970 pm=1987 slots=880000 (2972s)
[cap 216] d0=4089989 pm=1983 slots=880000 (2982s)
[cap 217] d0=4087880 pm=2018 slots=880000 (2992s)
[cap 218] d0=4084499 pm=1779 slots=880000 (3003s)
[cap 219] d0=4100067 pm=1824 slots=880000 (3013s)
[cap 220] d0=4110827 pm=1935 slots=880000 (3023s)
[cap 221] d0=4122950 pm=1874 slots=880000 (3034s)
