# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
169.794,2.114755e-14,5.343886e-16,8.834213e-15,1.177895e-14
172.109,2.087029e-14,5.343886e-16,8.715386e-15,1.162051e-14
174.456,2.059675e-14,5.343886e-16,8.598156e-15,1.146421e-14
176.835,2.032690e-14,5.343886e-16,8.482504e-15,1.131001e-14
179.246,2.006067e-14,5.343886e-16,8.368407e-15,1.115788e-14
181.689,1.979803e-14,5.343886e-16,8.255845e-15,1.100779e-14
184.167,1.953892e-14,5.343886e-16,8.144797e-15,1.085973e-14
186.678,1.928329e-14,5.343886e-16,8.035243e-15,1.071366e-14
189.223,1.903110e-14,5.343886e-16,7.927162e-15,1.056955e-14
191.803,1.878230e-14,5.343886e-16,7.820535e-15,1.042738e-14
194.418,1.853685e-14,5.343886e-16,7.715342e-15,1.028712e-14
197.069,1.829471e-14,5.343886e-16,7.611565e-15,1.014875e-14
199.755,1.805581e-14,5.343886e-16,7.509183e-15,1.001224e-14
202.479,1.782014e-14,5.343886e-16,7.408178e-15,9.877571e-15
205.24,1.758763e-14,5.343886e-16,7.308532e-15,9.744709e-15
208.038,1.735825e-14,5.343886e-16,7.210226e-15,9.613634e-15
210.874,1.713195e-14,5.343886e-16,7.113242e-15,9.484323e-15
213.749,1.690870e-14,5.343886e-16,7.017563e-15,9.356751e-15
216.664,1.668845e-14,5.343886e-16,6.923171e-15,9.230895e-15
219.618,1.647117e-14,5.343886e-16,6.830049e-15,9.106732e-15
222.612,1.625681e-14,5.343886e-16,6.738179e-15,8.984238e-15
225.647,1.604533e-14,5.343886e-16,6.647545e-15,8.863393e-15
228.724,1.583669e-14,5.343886e-16,6.558130e-15,8.744173e-15
231.842,1.563086e-14,5.343886e-16,6.469917e-15,8.626557e-15
235.003,1.542780e-14,5.343886e-16,6.382892e-15,8.510522e-15
238.207,1.522747e-14,5.343886e-16,6.297036e-15,8.396048e-15
241.455,1.502984e-14,5.343886e-16,6.212336e-15,8.283115e-15
244.747,1.483486e-14,5.343886e-16,6.128775e-15,8.171700e-15
248.084,1.464251e-14,5.343886e-16,6.046338e-15,8.061784e-15
251.466,1.445274e-14,5.343886e-16,5.965009e-15,7.953346e-15
254.895,1.426553e-14,5.343886e-16,5.884775e-15,7.846367e-15
258.37,1.408084e-14,5.343886e-16,5.805620e-15,7.740827e-15
261.893,1.389862e-14,5.343886e-16,5.727529e-15,7.636706e-15
265.464,1.371886e-14,5.343886e-16,5.650489e-15,7.533986e-15
269.083,1.354152e-14,5.343886e-16,5.574486e-15,7.432648e-15
272.752,1.336656e-14,5.343886e-16,5.499504e-15,7.332672e-15
276.471,1.319396e-14,5.343886e-16,5.425531e-15,7.234042e-15
280.24,1.302368e-14,5.343886e-16,5.352553e-15,7.136738e-15
284.061,1.285569e-14,5.343886e-16,5.280557e-15,7.040743e-15
287.934,1.268996e-14,5.343886e-16,5.209529e-15,6.946039e-15
291.86,1.252645e-14,5.343886e-16,5.139457e-15,6.852609e-15
295.839,1.236515e-14,5.343886e-16,5.070327e-15,6.760435e-15
299.872,1.220602e-14,5.343886e-16,5.002126e-15,6.669502e-15
303.961,1.204902e-14,5.343886e-16,4.934844e-15,6.579792e-15
308.105,1.189414e-14,5.343886e-16,4.868466e-15,6.491288e-15
312.306,1.174134e-14,5.343886e-16,4.802981e-15,6.403975e-15
316.564,1.159060e-14,5.343886e-16,4.738377e-15,6.317836e-15
320.88,1.144189e-14,5.343886e-16,4.674642e-15,6.232856e-15
325.255,1.129517e-14,5.343886e-16,4.611764e-15,6.149019e-15
329.69,1.115043e-14,5.343886e-16,4.549732e-15,6.066309e-15
334.185,1.100763e-14,5.343886e-16,4.488534e-15,5.984712e-15
338.741,1.086676e-14,5.343886e-16,4.428160e-15,5.904213e-15
